max-delay,multi-num,elapse_mean,elapse_std,stddev_mean,stddev_std,mean_mean,mean_std
10,1,1.345,0.061508806957486416,0.0,0.0,0.0,0.0
10,2,1.455,0.1209453503768449,0.0,0.0,0.0,0.0
10,4,1.498,0.09150591966279188,0.0,0.0,0.0,0.0
10,8,3.217,0.11136027618101135,0.0,0.0,0.0,0.0
10,10,6.348,0.5858668790774915,0.0,0.0,0.0,0.0
20,1,1.288,0.05769652406245022,0.24,0.08393118874676113,0.0064,0.003747591819348052
20,2,1.377,0.08028421735033324,0.157,0.05907622195096771,0.003,0.0016666666666666666
20,4,1.405,0.0981212401969001,0.202,0.04638007234913622,0.0052,0.0018287822299126934
20,8,2.347,0.14840260554765652,0.475,0.029533408577782253,0.027581,0.0028267431200352587
20,10,3.7800000000000002,0.19002923751652306,0.531,0.04121757985239902,0.03305,0.0045789858168715815
40,1,1.342,0.14763317904710857,0.341,0.10450412006763711,19.9974,0.002674987019699523
40,2,1.323,0.10044899203078153,8.325,1.5585338551914032,12.334931999999998,0.577863608817475
40,4,1.404,0.074416246732671,8.004000000000001,0.6033093917901678,8.546217,0.498103888852516
40,8,2.0170000000000003,0.07409453421137087,8.234,0.03777124126457452,5.798415,0.05374506659530096
40,10,2.915,0.16834158395621948,7.882,0.03614784456460247,5.119236,0.06796787986492844
80,1,1.288,0.09863513009515877,0.683,0.11324015777688291,59.993801,0.007938402372156407
80,2,1.392,0.08664102184685185,21.782,2.797442482776802,39.874624,0.9986372713653355
80,4,1.542,0.3335266106324951,15.64,5.373403638911437,24.052989,4.327821830265325
80,8,1.8579999999999999,0.12263767773404716,22.81,0.11333333333333223,19.938176,0.6972848400793212
80,10,2.497,0.11372969904314544,22.02,0.08511430223202486,18.047281,0.28663555805819657
100,1,1.264,0.062039413995369865,0.942,0.1875455500227434,79.988602,0.010922129218548057
100,2,1.3130000000000002,0.06056218108504497,30.130000000000003,2.325510696599781,55.315787,2.192565356684822
100,4,1.4200000000000002,0.11372481406154657,27.297000000000004,3.5979223943208605,39.112477999999996,5.449785273747132
100,8,1.8510000000000002,0.08089087299153923,29.895999999999997,0.2630673762450312,27.283742999999998,0.475126317848445
100,10,2.4210000000000003,0.2359119421403767,28.841,0.08504247304860137,24.99906,0.3809165732808172
